data,data_dados,confirmados,confirmados_arsnorte,confirmados_arscentro,confirmados_arslvt,confirmados_arsalentejo,confirmados_arsalgarve,confirmados_acores,confirmados_madeira
26/02/2020,26/02/2020 00:00,0,0,0,0,0,0,0,0
27/02/2020,27/02/2020 00:00,0,0,0,0,0,0,0,0
28/02/2020,28/02/2020 00:00,0,0,0,0,0,0,0,0
29/02/2020,29/02/2020 00:00,0,0,0,0,0,0,0,0
01/03/2020,01/03/2020 00:00,0,0,0,0,0,0,0,0
02/03/2020,02/03/2020 00:00,2,2,0,0,0,0,0,0
03/03/2020,03/03/2020 16:00,4,2,1,1,0,0,0,0
04/03/2020,04/03/2020 17:00,6,3,1,2,0,0,0,0
05/03/2020,05/03/2020 17:00,9,5,1,3,0,0,0,0
06/03/2020,06/03/2020 17:00,13,8,1,4,0,0,0,0
07/03/2020,07/03/2020 17:00,21,15,1,5,0,0,0,0
08/03/2020,08/03/2020 17:30,30,22,1,6,0,1,0,0
09/03/2020,09/03/2020 18:45,39,27,1,9,0,2,0,0
10/03/2020,10/03/2020 10:00,41,27,2,10,0,2,0,0
11/03/2020,11/03/2020 00:00,59,36,3,17,0,3,0,0
12/03/2020,12/03/2020 00:00,78,44,5,23,0,5,0,0
13/03/2020,13/03/2020 00:00,112,53,6,46,0,6,0,0
14/03/2020,14/03/2020 00:00,169,77,8,73,0,7,0,0
15/03/2020,15/03/2020 00:00,245,103,10,116,0,10,1,0
16/03/2020,16/03/2020 00:00,331,138,31,142,0,13,1,0
17/03/2020,17/03/2020 00:00,448,196,51,180,0,14,1,0
18/03/2020,18/03/2020 00:00,642,289,74,243,2,21,3,1
19/03/2020,19/03/2020 00:00,785,381,86,278,2,25,3,1
20/03/2020,20/03/2020 00:00,1020,506,106,361,2,29,3,1
21/03/2020,21/03/2020 00:00,1280,644,137,448,3,31,3,5
22/03/2020,22/03/2020 00:00,1600,825,180,534,5,35,4,7
23/03/2020,23/03/2020 00:00,2060,1007,238,737,5,42,11,9
24/03/2020,24/03/2020 00:00,2362,1130,293,852,6,46,12,12
25/03/2020,25/03/2020 00:00,2995,1517,365,992,12,62,17,16
26/03/2020,26/03/2020 00:00,3544,1858,435,1082,20,89,24,15
27/03/2020,27/03/2020 00:00,4268,2443,520,1110,30,99,24,21
28/03/2020,28/03/2020 00:00,5170,3035,647,1287,34,106,30,31
29/03/2020,29/03/2020 00:00,5962,3550,709,1478,41,108,33,43
30/03/2020,30/03/2020 00:00,6408,3801,784,1577,45,116,41,44
31/03/2020,31/03/2020 00:00,7443,4452,911,1799,50,137,48,46
01/04/2020,01/04/2020 00:00,8251,4910,1043,1998,54,146,52,48
02/04/2020,02/04/2020 00:00,9034,5338,1161,2207,59,164,57,48
